feedback,seller_id,order_id,store_id
"No lo recomiendo , me dieron mil vueltas por las sucursales hasta que di con mi producto, y ahora estoy esperando el reclamos por que le faltan cosas",109569068,1844802566,193
Tuve que encargarme personalmente de llamar a la casa del audio porque nunca me escribieron para avisar de la confirmación de la compra y menos para retirarlo.,,1845017188,12766011
"UN DESASTRE, DESDE Q COMPRE ME DIJERON EN 3 DIAS HABILES PASARON 10 DIAS HAB Y AHORA ME CANCELAN LA COMPRA, DEVOLVIENDOME EL DINERO RECIEN A LOS 20 DIAS SE VERA",174430939,1797313318,12782005
"NO LO RECOMIENDO, REALIZA LAS VENTAS Y NO LAS MANDA",,1793113789,12782005
casi un mes para retirar el producto una *,174430939,1847403209,12782005
SUPER VUELTEROS PARA DAR  MARCHA ATRAS CON UNA VENTA QUE ELLOS NO TENIAN EN ESTOCK .,174430939,1846760456,12782005
Sinceramente el producto lo tengo pero prometen tenerlo en 3 dias y fueron casi 2 semanas. Encima le envie mensajes via ML y nunca respondieron. Un *,174430939,1815621212,12782009
"No se recomienda tratar con esta gente, muy poco serio, pesimo servicio. Mejor comprar en una tienda de barrio, con gente que tenga ganas de trabajar y vender.",174430939,1796677437,12782009
mala,174430939,1845751573,12782011
tardo mucho tiempo en llegar el producto,174430939,1810815364,12782014
mala atencion de la persona que efectua las entregas en ribeiro aparte que no entrega los productos a tiempo,174430939,1809035640,12782014
No entregan a ti,174430939,1850639080,12782015
"Desastrosa la atención. Tanto por teléfono, como por ML. No recomiendo para nada al vendedor. Muy burocráticos y no te responden. No volvería a comprarles.",174430939,1849440982,12782015
Llamé por un problema que presenta el smart TV y del servicio técnico no me brindaron ayuda. Me piden a mi que averigüe cual puede ser el problema.,174430939,1844865871,12782015
"Ribeiro mucha vuelta para entregar, mandaban email q ya estaba el producto y no estaba. 5 veces tuve que ir.Lamentable!!!",174430939,1815259545,12782015
Nonos quisieron dar una bolsa para llevar el producto. Tuve que irme con la caja en la mano. Vergonzoso,174430939,1796839448,12782015
mala atencion en el locaal donde lo retire,174430939,1829662808,12782017
la atención en el salón espantosa el producto es bueno,174430939,1826654954,12782017
Malísima.no era el.producto acordado.tardo en la devolución del dinero.,174430939,1846707561,12782019
"La atencion fue buena pero el celu era usado o reparado, habia fotos de un taller en la memoria y estaba rayado el display",174430939,1849932283,12782020
Nunca pudo cambiarme el número del pedido. Ahora tengo que cambiarlo por otra cosa en alguna sucursal.Pésimo todo.,156472100,1832017906,12783004
"A mi nena le quedaron chicas y me están dando muchas vueltas en responder y en hacerse responsables del reembolso, porque para cambiarlas no tienen.",156472100,1816752182,12783005
No tienen el producto y hacen esperar a q llegue un mensaje de texto con la confirmacion. Cuando en ña app de mercado dice q ya esta disponible,156472100,1862499475,12783006
No. Omiten en sportline. Muy mala atención. Juegan con la gente,,1829989417,12783006
Atienden de mala gana. No es la primera vez q retiro productos en el local.  Compro xq es buena calidad pero con la atencion no dan ganas de ir mas.,156472100,1842437096,12783011
"Producto supuestamente nuevo- al retirar está usado , sucio y en malas condiciones.Totalmente disconforme",156472100,1816325049,12783015
Sinceramente un *.  No me lo querían entregar porque aumentó el precio. Sin palabras. Un mes para retirarlo,,1797269992,12792001
"No lo recomiendo, compré un celular y nunca me lo entregó, inicié reclamo y mediación con ML y ni siquiera respondió a la mediación.  Unos truchos.",,1796662453,12792002
"No emite factura A cuando se compra por Mercado Libre, con lo que no puedo registrar la compra en mi empresa.-",,1819961602,12792002
porque me cierran un reclamo que porque es fravega???? claro me devuelven $1599 pero pago 200$ de interes eso quien me los devuelven ???? la * madre que lo r,,1797172328,12792003
Muy mala atencion y pesimo servicio post venta. Vendedor  no recomendable. Nunca mas hago una operacion con esta gente.,,1797126205,12793001
Buena atención y producto,,1847043444,12794004
Venden sin tener el producto,,1845214895,12794006
"Una vergüenza, la persona que me debía entregar los productos amenazó con agarrarme a &%&*#%*#% porque lo pagamos con la tarjeta de mi mujer.",,1848108250,12794008
No habia gente que me entregara el producto en la sucursal de zona norte y tuve que esperar media hora que me atiendan,,1848011363,12794008
El producto tablet falló desde el primer día de uso,,1845863812,12794014
No envio la factura desp de la compra y me cobraron un precio mas caro q estab publica. No hubo resp positiva,,1842906164,12794016
no entrego en fecha pactada.,143125485,1794780286,12794018
No tenían los datos de la persona autorizada a retirar,,1833373390,12794018
Me cobraron la financiación cuando decís que era sin interés,,1825190234,12794021
Muy buena atención  del vendedor .. muy buen producto anda perfecta .. la recomiendo.,,1813392753,12795001
ESTAFA. Un mes después canceló la compra cuando TIENEN en stock xq siguen ofreciendolo. Me devolvieron el dinero y ahora aumentó en todas las plataformas.,,1803319726,12795001
"Puse a un titular para que retire el producto y no se lo dieron, tuve que buscarlo personalmente",,1828299712,12795001
MUY MALA LA COORDINACION PARA LA ENTREGA DL PRODUCTO EN LA SUCURSAL DE MORON,,1796638695,12795002
Me atendieron mal e hicieron perder tiempo al retirarla,,1803335119,12795003
"Hice la compra y como aumento de precio , no me la entregaron , me anularon la venta e hicieron la devolución , q tuvo problemas también .... y",,1838834197,12795004
La publicacion esta mal. La medida VESA no es la correcta.,,1801962693,12795004
Compre la heladera y no andaba. Contando del primer dia hasta 2 semanas que me realizaron el cambio. Dicen tener 72 hs de prueba y no es asi. No compro mas nada,,1787538525,12795004
Lamentablemente el sistema de graves al enviar a una persona que ingrese y todo x mercado libra como responsable del retiro no pudo retirar Tube q ir personalme,,1798390846,12795010
No entregaron factura de compra,,1837446011,12795014
Dos semanas después de pagar me devolvieron el dinero,,1786016832,12795014
"No duro ni 3 usos,ni Fravega ni wahl se hicieron cargo.El 0800 unos maleducados y además se excusan con que no lo pueden cambiar por la suba del dolar. Malisimo",,1755611179,12795018
"Me atendieron de muy mala manera, los dos productos que compre estaban fallados, no lo recomiendo y no volvería a comprar",,1806271092,12804004
"Muy insatisfecho, me vendieron un artículo usado y el sistema con mal funcionamiento, FRAVEGA bajo mucho su calidad, NO LO RECOMIENDO.",,1833881804,12805002
Antes de comprar me dijeron una cosa y luego de la compra no respondieron nunca los mensajes. Pesima atencion. Nunca mas compro en HENDEL.,,1847173316,12807003
No me gusto la atencion,185359901,1813044759,12808003
"me entregaron un producto que nada que ver con lo publicado, era otra foto y otro modelo de silla ....me sentí estafado....",,1846903070,12808006
Ponene muchas trabas y requisitos para retirar... por supuesta seguridad pero  siendo muy vulnerables por otros lados... y deribaban a otros dptos de la empresa,174430939,1847438277,12809004
"Fila interminable para retirar, atención malísima, estuve una hora y media para retirar el producto.",174430939,1844597959,12813001
Mala predisposición de los vendedores a la hr de la entrega.,174430939,1801358949,12813001
Mienten en la publicación no es lo que compre,174430939,1845139440,12813001
"Juguete entregado en pésimas condiciones vendido como nuevo y estuvo en exhibición, entregado todo sucio y lleno de tierra. Restaban los plásticos",174430939,1816877102,12813001
SIN COMENTARIOS......,174430939,1844653370,12813001
No lo recomiendo tuve que ir 3 veces xq el producto no había llegado. No respetaron los tiempos estipulados.,174430939,1831960627,12813001
